,Artist_Surname,Artist_First_Name
308413,Harlow,George Henry
308414,Harpignies,Henri-Joseph
308416,Haverman,Margareta
308418,Heem,Jan Davidsz de
308420,Heemskerck,Maarten van
308423,Helst,Bartholomeus van der
308425,Hemessen,Jan Sanders van
308426,Henner,Jean-Jacques
308428,Heyden,Jan van der
308433,Hobbema,Meyndert
308436,Hogarth,William
308437,Holbein,Hans
308451,Hondecoeter,Melchior d'
308452,Hondius,Abraham
308455,Hooch,Pieter de
308460,Hoogstraten,Samuel van
308461,Hoppner,John
308471,Horemans,Peter Jacob
308475,Hulsdonck,Jacob van
308476,Humbert,Ferdinand
308477,Huys,Pieter
308478,Ingres,Jean Auguste Dominique
308484,Héquet,Gustave
308493,Isenbrant,Adriaen
308496,Israëls,Jozef
308501,Italian (Florentine) Painter,Unknown
308502,Master of the Magdalen,Unknown
308507,Italian (Lombard) Painter,Unknown
308509,Italian (Marchigian?) Painter,Unknown
308510,North Italian Painter,Unknown
308513,Italian (Pisan) Painter,Unknown
308514,Brueghel,Abraham
308515,Italian (Sienese) Painter,Unknown
308517,Italian (Umbrian) Painter,Unknown
308519,Italian (Venetian) Painter,Unknown
308523,Jacometto (Jacometto Veneziano),Unknown
308524,Jacopino del Conte,Unknown
308525,Daniele da Volterra (Daniele Ricciarelli),Unknown
308526,Jacque,Charles
308528,Janssen van Nuyssen,Abraham
308532,Jénot,Paulin
308533,Joest of Kalkar,Jan
308534,Joli,Antonio
308535,Jongh,Ludolf de
308536,Jongkind,Johan Barthold
308538,Jonson van Ceulen,Cornelis
308541,Joos van Cleve,Unknown
308548,Jordaens,Jacob
308550,Juan de Flandes,Unknown
308552,Justus of Ghent (Joos van Wassenhove),Unknown
308553,Kalf,Willem
308558,Kaulbach,Friedrich August von
308559,Kaulbach,Wilhelm von
308560,Keil,Bernhard
308561,Keuninck,Kerstiaen de
308562,Keyser,Thomas de
308563,Klimt,Gustav
308565,Frye,Thomas
308568,Købke,Christen
308569,Koekkoek,Barend Cornelis
308571,Koller,Guillaume
308572,Koninck,Philips
308575,Kuindzhi,Arkhip Ivanovich
308576,Kulmbach,Hans Süss von
308578,La Hyre,Laurent de
308580,La Tour,Georges de
308582,Labille-Guiard,Adélaïde
308583,Lairesse,Gerard de
308585,Landseer,Edwin Henry
308586,Largillierre,Nicolas de
308589,Lavieille,Eugène
308590,Lawrence,Thomas
308595,Le Sueur,Eustache
308598,Altomonte,Andreas
308600,Lee,Frederick Richard
308602,Lefebvre,Jules-Joseph
308603,Leibl,Wilhelm
308604,Leighton,Frederic
308606,Leloir,Alexandre-Louis
308607,Lely,Peter
308611,Lemoine,Marie Victoire
308612,Lenbach,Franz von
308615,León y Escosura,Ignacio de
308616,Lerolle,Henry
308617,Lhermitte,Léon-Augustin
308621,Liebermann,Max
308623,Ligozzi,Jacopo
308624,Lingelbach,Johannes
308626,Lione,Andrea di
308627,Lippi,Filippino
308630,Lippi,Fra Filippo
308638,Longhi,Pietro (Pietro Falca)
308642,Lorenzetti,Ambrogio
308643,Lorenzetti,Pietro
308644,Lorenzo di Credi (Lorenzo d'Andrea d'Oderigo),Unknown
308646,Lorenzo Monaco (Piero di Giovanni),Unknown
308650,Lotto,Lorenzo
308653,Luca di Tommè di Nuto,Unknown
308655,Leyden,Lucas van
308656,Luce,Maximilien
308658,Madrazo y de Ochoa,Federico de
308659,Madrazo y Garreta,Raimundo de
308662,Maes,Nicolaes
308668,Magnasco,Alessandro
308670,Makart,Hans
308671,Makovsky,Vladimir Egorovich
308672,Maldura,Giovanni
308673,Maler,Hans
308675,Mancini,Antonio
308676,Manet,Édouard
308698,Mantegna,Andrea
308702,Marchal,Charles-François
308703,Marcke,Émile van
308705,Maris,Jacob
308706,Maris,Matthys
308707,Marseus van Schrieck,Otto
308713,Maso di Banco,Unknown
308715,Metsys,Quentin
308718,Master of the Liège Disciples at Emmaus,Unknown
308719,Master of 1416,Unknown
308721,Master of the Acts of Mercy,Unknown
308722,North Netherlandish Painter,Unknown
308723,Dò,Juan
308725,Master of the Béguins (possibly Abraham Willemsens,Flemish
308727,Master of the Castello Nativity,Unknown
308732,Master of Flora,Unknown
308735,Master LC,Unknown
308736,Master of the Lanckoronski Annunciation,Unknown
308738,Netherlandish (Antwerp) Painter,Unknown
308739,Master G.Z.,Unknown
308742,Master of the Mansi Magdalen,Unknown
308745,Master of the Orcagnesque Misericordia,Unknown
308747,Master of Varlungo,Unknown
308748,Master called Pseudo-Pier Francesco Fiorentino,Unknown
308752,Master of the View of Sainte Gudule,Unknown
308753,Marco di Paolo Veneziano,Unknown
308755,Master of the Saint Ursula Legend,Unknown
308756,Master of the Story of Joseph,Unknown
308757,Master of the Virgin among Virgins,Unknown
308758,Matteo di Giovanni di Bartolo,Unknown
308759,Mauperché,Henri
308760,Mauve,Anton
308765,Max,Gabriel
308766,Mazo,Juan Bautista Martínez del
308769,Meissonier,Ernest
308773,Meléndez,Luis
308774,Memling,Hans
308782,Memmi,Lippo (Filippo di Memmo)
308785,Mengs,Anton Raphael
308787,Merle,Hugues
308788,Metsu,Gabriël
308792,Meulen,Adam Frans van der
308795,Michallon,Achille-Etna
308796,Michel,Georges
308798,Michele da Verona (Michele di Zenone),Unknown
308799,Michelin,Jean
308800,Michelino da Besozzo (Michelino de Mulinari),Unknown
308801,Miel,Jan
308802,Mierevelt,Michiel Jansz. van
308805,Mieris,Frans van
308806,Boonen,Arnold
308807,Mijtens,Daniël
308808,Millais,John Everett
308809,Millet,Francisque
308810,Millet,Jean-François
308817,Mola,Pier Francesco
308818,Molijn,Pieter de
308819,Monamy,Peter
308820,Monet,Claude
308855,Monogrammist LAM,Unknown
308856,Montagna,Bartolomeo (Bartolomeo Cincani)
308858,Montemezzano,Francesco
308859,Monticelli,Adolphe
308863,Mor van Dashorst,Anthonis
308865,Moreau,Gustave
308866,Moreelse,Paulus
308867,Moretto da Brescia (Alessandro Bonvicino),Unknown
308870,Morisot,Berthe
308872,Morland,George
308873,Moroni,Giovanni Battista
308878,Mostaert,Jan
308879,Mucha,Alphonse
308880,Munkácsy,Mihály
308881,Murant,Emanuel
308882,Murillo,Bartolomé Estebán
308887,Meytens,Martin van
308888,Naiveu,Matthijs
308889,Nasmyth,Patrick
308890,Natoire,Charles Joseph
308891,Nattier,Jean Marc
308896,Francken,Frans
308897,Neeffs,Pieter
308899,Neer,Aert van der
308902,Neer,Eglon van der
308903,Neroccio de' Landi,Unknown
308906,Nesterov,Mikhail Vasilievich
308907,Netherlandish (Bruges) Painter,Unknown
308908,North Netherlandish (Utrecht?) Painter,Unknown
308917,Master of the Female Half-Lengths,Unknown
308918,Netherlandish (Antwerp Mannerist) Painter,Unknown
308921,Netherlandish Painter (possibly Goswijn van der Weyden,Unknown
